label,translated_clean_data,cleaned_text
pos,The person who is seen in the picture is only a player but the inspiration of the proud nation of the tiger nation of Bengal is a mammashrafi the boss.,person seen picture player inspiration proud nation tiger nation bengal mammashrafi boss
ntr,Teaching Photo Verification Open Temporary Locke Open Within One Posting One Posting ID Card Card Communication Contact: WhatsApp Numberfacebook Inbox,teaching photo verification open temporary locke open within one posting one posting id card card communication contact whatsapp numberfacebook inbox
neg,"India is a generous country in Bangladesh, despite using highway rivers in the low -tex Bangladesh, and every day on the border, anyone is doing anyone every day.",india generous country bangladesh despite using highway rivers low tex bangladesh every day border anyone anyone every day
neg,Hum Beta would have justified the marriage if he thought herself was so aware,hum beta would justified marriage thought aware
ntr,How is Shamim brother,shamim brother
neg,This is a negative example text.,negative example text
pos,See Surasur in the IPL Agdumbagadum says,see surasur ipl agdumbagadum says
pos,Good,good
neg,"In the power of the minister MP, the country does not play the new oath of the day without formality",power minister mp country play new oath day without formality
neg,If you do not have Awami League you can not stay in the country of Shala,awami league stay country shala
neg,Come on Stegan more criticize,come stegan criticize
pos,Bin everyone thought a little bit like this to raise the money and debt money to raise the Beer age of Polapine.,bin everyone thought little bit like raise money debt money raise beer age polapine
ntr,Do not call the way you like to call,call way like call
neg,If a warning players were offered a second time if they opposed the additional application and the umpire's decision to make a five -run fine,warning players offered second time opposed additional application umpires decision make five run fine
pos,"Nah ID is enough, but be careful that professional people are to follow them in the ID of John ID.",nah id enough careful professional people follow id john id
neg,They are always bravely for the clash and whenever the cocktail explosion,always bravely clash whenever cocktail explosion
pos,"Alhamdulillah congrats on Satkhira Basi's arrogance of Bengal Tiger the Fis many wishes and endless good wishes, good luck.",alhamdulillah congrats satkhira basis arrogance bengal tiger fis many wishes endless good wishes good luck
pos,Frame,frame
pos,Nice thanks,nice thanks
neg,"If the brother is not PK, then the opposite video and the opposite will say",brother pk opposite video opposite say
pos,I would like to say to Mashrafe brother that they are not congratulated by Bangladesh's heroes like their heroes.,would like say mashrafe brother congratulated bangladeshs heroes like heroes
pos,"The liberation of democracy is that it is a good election of all and the participatory elections of all, it is seeking the common people of this country.",liberation democracy good election participatory elections seeking common people country
neg,"Watching the Bangla TV channel, I was like watching the advertisement is really boring.",watching bangla tv channel like watching advertisement really boring
pos,Do not need to comment so beautiful pictures,need comment beautiful pictures
pos,"After the birth of Bhai, Thikai gives Eram or today is a special day",birth bhai thikai gives eram today special day
neg,"But whatever the age of the year, the grave of the Islamic warrior is to get the grave of the grave.",whatever age year grave islamic warrior get grave grave
neg,This is a negative example text.,negative example text
neg,Khaleda Zia did it in jail,khaleda zia jail
pos,I noted the line that did not go to the discussion due to lack of time,noted line go discussion due lack time
neg,This is a negative example text.,negative example text
pos,Love brother,love brother
neg,Many more bad rules in Chittagong are sacrificed to give cows goats in the summer to give these trucks to the girl's furniture if the furniture is not a furniture.,many bad rules chittagong sacrificed give cows goats summer give trucks girls furniture furniture furniture
pos,It is normal to say the best,normal say best
neg,"Political parties are alive, the leaders are alive, the sub -legends are alive, the danger public meeting is lost when this ecology is lost with any member of any of the drug addicts.",political parties alive leaders alive sub legends alive danger public meeting lost ecology lost member drug addicts
